model,variant,split,horizon_hours,fit_time_seconds,inference_time_seconds,feature_count,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Brier Score,Expected Calibration Error,MAE,RMSE,sMAPE,MAPE_safe,R2,normalized_RMSE,ramp_MAE,pinball_loss,interval_coverage_probability,mean_prediction_interval_width,interval_calibration_error,uncertainty_error_correlation,model_group
B-TGPRF,B-TGPRF,validation,1,24.903462171554565,0.5107600688934326,27,0.9866497774962916,0.8828841216398939,0.9135517727931768,0.9861105386085556,0.9108597285067873,0.76920137562094,0.9965668676588477,0.9967489162554746,0.939928252550609,0.0034331323411522776,0.2307986243790599,0.0093713993498088,0.004023725116440705,0.3492059765951439,0.5482732951053356,0.09445743300871876,0.19456970801141593,0.9960726608684431,0.06266848594516275,0.3492059765951439,0.06811503215394354,0.8654644244070735,1.389125940077834,0.034535575592926526,-0.03372275754551109,Proposed
B-TGPRF,B-TGPRF,test,1,24.903462171554565,0.4455451965332031,27,0.9601493358222637,0.7627792483146868,0.8278067879443456,0.9549185343576594,0.9413533834586466,0.5283815150875713,0.9971769815418023,0.9927946784511241,0.9208005956125993,0.0028230184581976114,0.4716184849124287,0.02801128396660861,0.029301501189828095,0.41017934168206127,0.6007237418115005,0.1340876278159533,0.29253480383038866,0.9956591297538887,0.06588528094467776,0.41017934168206127,0.07679179122876534,0.8136468941149019,1.389125940077834,0.08635310588509815,-0.05625911297988247,Proposed
B-TGPRF,B-TGPRF,external_test,1,24.903462171554565,0.32611584663391113,27,0.9797996633277222,0.8746774813514324,0.8959805124424085,0.9792207308534961,0.8543689320388349,0.7567567567567568,0.9925982059461079,0.9931458440944192,0.9035237745565298,0.00740179405389211,0.24324324324324317,0.014719120920875956,0.006394674188401714,0.36502750956911073,0.5477591380099959,0.11013442800148565,0.21460761659453587,0.9962450986491895,0.06127724985645424,0.36502750956911073,0.06779463802053273,0.8493641560692679,1.389125940077834,0.05063584393073217,-0.020835277752932296,Proposed
