model,variant,split,horizon_hours,fit_time_seconds,inference_time_seconds,feature_count,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Brier Score,Expected Calibration Error,MAE,RMSE,sMAPE,MAPE_safe,R2,normalized_RMSE,ramp_MAE,pinball_loss,interval_coverage_probability,mean_prediction_interval_width,interval_calibration_error,uncertainty_error_correlation,component_removed
B-TGPRF,Without residual correction,validation,1,1.6326470375061035,0.04137396812438965,27,0.986966449440824,0.9251713576199844,0.9223983908082174,0.9870089214412402,0.8458349038823972,0.8574703859380971,0.9928723293018716,0.9968250572919013,0.9390082974186236,0.007127670698128333,0.1425296140619029,0.009000173469597425,0.0015380905014389442,0.3800808416655286,0.6032135707322787,0.10158324007862668,0.22956957824412638,0.9952461395854123,0.06894824445554025,0.3800808416655286,0.07416053878629453,0.9000150002500041,1.8159879995139185,1.5000250004115756e-05,0.039515334437045864,Residual correction
B-TGPRF,Without residual correction,external_test,1,1.6326470375061035,0.03759407997131348,27,0.9796163269387823,0.9180058512883706,0.9040211250068682,0.9799556308236554,0.7908440629470672,0.8488943488943489,0.9871173536823925,0.994103343490052,0.9134786192082034,0.012882646317607459,0.15110565110565105,0.014134652829506872,0.005515874678018244,0.36897586296233864,0.5623561049510832,0.11135421599178573,0.2120971406081464,0.9960423070503718,0.06291019749406916,0.36897586296233864,0.06794095237008951,0.9068817813630227,1.8159879995139185,0.006881781363022643,0.05341972702299107,Residual correction
B-TGPRF,Without calibration,validation,1,9.08406400680542,0.1764662265777588,27,0.9866331105518426,0.9231736376424768,0.9204136949209595,0.9866766687926786,0.8420655861289107,0.853649216660298,0.9926980586246558,0.9966743068298909,0.9390823179175553,0.007301941375344185,0.1463507833397019,0.02478796436810392,0.07855343481115958,0.3269396313470481,0.4959815986843936,0.08792763083401543,0.17974706729122675,0.9967860778933775,0.056691464136039385,0.3269396313470481,0.059897134225816495,0.8999983333055551,1.535927792943429,1.6666944449017507e-06,0.02607429438737797,Probability calibration
B-TGPRF,Without calibration,external_test,1,9.08406400680542,0.16339421272277832,27,0.9786663111051851,0.8986859574751473,0.8966189804792382,0.9787215711359148,0.8001215066828675,0.808968058968059,0.9884038559822357,0.9929462610872652,0.9058683735802856,0.011596144017764307,0.191031941031941,0.025670716829258675,0.07863455344340865,0.37952428166834207,0.5644165995036029,0.11520149213915135,0.2302680781057716,0.996013251637079,0.06314070289463869,0.37952428166834207,0.0689005025434475,0.8615976932948882,1.535927792943429,0.0384023067051118,0.05339095604373743,Probability calibration
B-TGPRF,Without Bayesian uncertainty layer,validation,1,9.747271299362183,0.12409114837646484,27,0.986966449440824,0.9251713576199844,0.9223983908082174,0.9870089214412402,0.8458349038823972,0.8574703859380971,0.9928723293018716,0.9971540739376745,0.9470050496814265,0.007127670698128333,0.1425296140619029,0.008915383616008838,0.004411338038060329,0.3269396313470481,0.4959815986843936,0.08792763083401543,0.17974706729122675,0.9967860778933775,0.056691464136039385,0.3269396313470481,0.059897134225816495,0.8999983333055551,1.535927792943429,1.6666944449017507e-06,0.02607429438737797,Bayesian posterior risk layer
B-TGPRF,Without Bayesian uncertainty layer,external_test,1,9.747271299362183,0.2105720043182373,27,0.9805496758279305,0.9164727903096512,0.9073307406181164,0.9807624736783304,0.8062151861624157,0.8445945945945946,0.988350986024708,0.9950183758825353,0.9255536700266908,0.011649013975292107,0.15540540540540537,0.013573449866634914,0.0059396614488853965,0.37952428166834207,0.5644165995036029,0.11520149213915135,0.2302680781057716,0.996013251637079,0.06314070289463869,0.37952428166834207,0.0689005025434475,0.8615976932948882,1.535927792943429,0.0384023067051118,0.05339095604373743,Bayesian posterior risk layer
B-TGPRF,Graph-temporal deterministic architecture,validation,1,12.321162939071655,0.20734882354736328,27,0.9861664361072685,0.9203768296739665,0.9176351206787985,0.9862115150846922,0.8367885412740294,0.8482995796713795,0.9924540796765536,0.9966776963512781,0.9376033646643264,0.007545920323446377,0.1517004203286205,0.012969455978934804,0.05043285760165004,0.3269396313470481,0.4959815986843936,0.08792763083401543,0.17974706729122675,0.9967860778933775,0.056691464136039385,0.3269396313470481,0.059897134225816495,0.8999983333055551,1.535927792943429,1.6666944449017507e-06,0.02607429438737797,Bayesian and calibration layers
B-TGPRF,Graph-temporal deterministic architecture,external_test,1,12.321162939071655,0.1729269027709961,27,0.979332988883148,0.9145267802139575,0.9022921888583944,0.9796366577835216,0.7908251586843624,0.8418304668304668,0.9872230935974482,0.9939618535678842,0.9147444178067059,0.012776906402551856,0.15816953316953314,0.018462949488799736,0.050943941627318294,0.37952428166834207,0.5644165995036029,0.11520149213915135,0.2302680781057716,0.996013251637079,0.06314070289463869,0.37952428166834207,0.0689005025434475,0.8615976932948882,1.535927792943429,0.0384023067051118,0.05339095604373743,Bayesian and calibration layers
B-TGPRF,Bayesian baseline risk layer only,validation,1,1.5928430557250977,0.017513275146484375,4,0.9866331105518426,0.9231736376424768,0.9204136949209595,0.9866766687926786,0.8420655861289107,0.853649216660298,0.9926980586246558,0.9967466787718084,0.9385843794732742,0.007301941375344185,0.1463507833397019,0.009136617691902913,0.0016848938158315124,0.3800808416655286,0.6032135707322787,0.10158324007862668,0.22956957824412638,0.9952461395854123,0.06894824445554025,0.3800808416655286,0.07416053878629453,0.9000150002500041,1.8159879995139185,1.5000250004115756e-05,0.039515334437045864,Temporal-graph residual and interval components
B-TGPRF,Bayesian baseline risk layer only,external_test,1,1.5928430557250977,0.016642093658447266,4,0.9800330005500092,0.9166338818443482,0.9053632289327874,0.9803020050748333,0.7984338747099768,0.8455159705159705,0.9877517931727261,0.9940217544503536,0.9161458081262397,0.01224820682727385,0.15448402948402945,0.01384546684212356,0.004157974364900312,0.36897586296233864,0.5623561049510832,0.11135421599178573,0.2120971406081464,0.9960423070503718,0.06291019749406916,0.36897586296233864,0.06794095237008951,0.9068817813630227,1.8159879995139185,0.006881781363022643,0.05341972702299107,Temporal-graph residual and interval components
