model,training_time_seconds,epochs_completed,best_validation_loss,device,lookback_hours
LSTM,7.713047027587891,5,0.06446669463600431,mps,24
GRU,14.46333622932434,5,0.06496957769351346,mps,24
TCN,5.743278741836548,5,0.20013683502163207,mps,24
Transformer Encoder,14.756107091903687,5,0.18469680419989995,mps,24
STGCN-inspired compact,6.985697984695435,5,0.1926879994571209,mps,24
Graph WaveNet-inspired compact,7.928707122802734,5,0.11972182323890072,mps,24
PatchTST-style compact,10.178855895996094,5,0.19923099928668567,mps,24
TFT-inspired compact attention,10.748520851135254,5,0.0988121157778161,mps,24
