model,variant,split,Brier Score,Expected Calibration Error,ROC-AUC,PR-AUC,uncertainty_error_correlation
B-TGPRF,B-TGPRF,validation,0.0093713993498088,0.004023725116440705,0.9967489162554746,0.939928252550609,-0.03372275754551109
B-TGPRF,B-TGPRF,test,0.02801128396660861,0.029301501189828095,0.9927946784511241,0.9208005956125993,-0.05625911297988247
B-TGPRF,B-TGPRF,external_test,0.014719120920875956,0.006394674188401714,0.9931458440944192,0.9035237745565298,-0.020835277752932296
