split,threshold,rows,Accuracy,Balanced Accuracy,Macro-F1,Precision,Recall,False Negative Rate,Brier Score,Expected Calibration Error
external_test,q90,59999,0.981349689161486,0.94947126865159,0.9488486606519668,0.9066601049868767,0.9094948165213098,0.09050518347869013,0.04380045924078613,0.04983182750892088
external_test,q95,59999,0.9870331172186203,0.9395866610699277,0.9371818033052504,0.8761384335154827,0.8863636363636364,0.1136363636363636,0.014719120920875956,0.006394674188401738
external_test,q99,59999,0.9943165719428657,0.8746275065234723,0.8923293514790345,0.8272251308900523,0.751486325802616,0.24851367419738377,0.032019463807406126,0.03743629362643139
test,q90,59999,0.9832663877731296,0.9610025593717553,0.9615853200664741,0.9341028049926184,0.9313528703331995,0.06864712966680048,0.06509076307648909,0.07486892731359683
test,q95,59999,0.9848330805513426,0.9410285754609967,0.9471523054283099,0.9164672612573418,0.8890061194344798,0.11099388056552013,0.02801128396660861,0.029301501189828123
test,q99,59999,0.9889331488858147,0.8752504398565606,0.8990442534524501,0.8602150537634409,0.7542983915696062,0.24570160843039365,0.027344524777772373,0.024721894696198704
validation,q90,59999,0.9840830680511342,0.9559683955977206,0.9516039379803942,0.9023900748038679,0.9217294073797987,0.07827059262020125,0.04295779173915469,0.04933701423538716
validation,q95,59999,0.9901998366639444,0.9467373805621564,0.9419023135806515,0.8789689951438177,0.8991211310661062,0.10087886893389374,0.0093713993498088,0.004023725116440724
validation,q99,59999,0.9963499391656527,0.8665151951241563,0.9006961925084005,0.8869047619047619,0.7339901477832512,0.26600985221674833,0.024341879217026907,0.029947640508858578
