model,split,horizon_hours,MAE,RMSE,Macro-F1,Balanced Accuracy,Brier Score,Expected Calibration Error,validation_threshold
B-TGPRF,validation,1,0.3492059765951439,0.5482732951053356,0.9135517727931768,0.8828841216398939,0.0093713993498088,0.004023725116440705,
B-TGPRF,test,1,0.41017934168206127,0.6007237418115005,0.8278067879443456,0.7627792483146868,0.02801128396660861,0.029301501189828095,
B-TGPRF,external_test,1,0.36502750956911073,0.5477591380099959,0.8959805124424085,0.8746774813514324,0.014719120920875956,0.006394674188401714,
B-TGPRF compact horizon sensitivity,validation,6,3.5782315673890066,4.781060775213708,0.5508337315742264,0.5777325534104552,0.048122651246380446,0.0671408658131806,0.2381554552728901
B-TGPRF compact horizon sensitivity,test,6,3.644727882699306,4.802017880995881,0.5832753092908975,0.6011622616007861,0.06900474387167597,0.03708567909500516,0.2381554552728901
B-TGPRF compact horizon sensitivity,external_test,6,3.608665564403003,4.818461369409935,0.5614915140653883,0.594078837985976,0.05535268806776686,0.06089302538456176,0.2381554552728901
B-TGPRF compact horizon sensitivity,validation,24,3.0301441470468573,4.1632157116229775,0.6781890494919164,0.707896941143544,0.05156155328756963,0.10958556651746712,0.3861912855858354
B-TGPRF compact horizon sensitivity,test,24,3.014747548774395,4.163918337393698,0.6447512098657728,0.6301681929302572,0.07213454942443873,0.08445824196334024,0.3861912855858354
B-TGPRF compact horizon sensitivity,external_test,24,3.039814630346581,4.19534710826609,0.6563856689506317,0.6802308328021691,0.05889640732206852,0.10648188441147659,0.3861912855858354
