model,split,horizon_hours,MAE,RMSE,Macro-F1,Balanced Accuracy,Brier Score,Expected Calibration Error,validation_threshold
B-TGPRF,validation,1,0.3492059765951439,0.5482732951053356,0.9135517727931768,0.8828841216398939,0.0093713993498088,0.0040237251164407,
B-TGPRF,test,1,0.4101793416820612,0.6007237418115005,0.8278067879443456,0.7627792483146868,0.0280112839666086,0.029301501189828,
B-TGPRF,external_test,1,0.3650275095691107,0.5477591380099959,0.8959805124424085,0.8746774813514324,0.0147191209208759,0.0063946741884017,
B-TGPRF compact horizon sensitivity,validation,6,3.5782315673890066,4.781060775213708,0.5508337315742264,0.5777325534104552,0.0481226512463804,0.0671408658131806,0.2381554552728901
B-TGPRF compact horizon sensitivity,test,6,3.644727882699306,4.802017880995881,0.5832753092908975,0.6011622616007861,0.0690047438716759,0.0370856790950051,0.2381554552728901
B-TGPRF compact horizon sensitivity,external_test,6,3.608665564403003,4.818461369409935,0.5614915140653883,0.594078837985976,0.0553526880677668,0.0608930253845617,0.2381554552728901
B-TGPRF compact horizon sensitivity,validation,24,3.0301441470468573,4.1632157116229775,0.6781890494919164,0.707896941143544,0.0515615532875696,0.1095855665174671,0.3861912855858354
B-TGPRF compact horizon sensitivity,test,24,3.014747548774395,4.163918337393698,0.6447512098657728,0.6301681929302572,0.0721345494244387,0.0844582419633402,0.3861912855858354
B-TGPRF compact horizon sensitivity,external_test,24,3.039814630346581,4.19534710826609,0.6563856689506317,0.6802308328021691,0.0588964073220685,0.1064818844114765,0.3861912855858354
