model,split,inference_time_seconds,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Brier Score,Expected Calibration Error,fit_time_seconds,model_group,MAE,RMSE,sMAPE,MAPE_safe,R2,normalized_RMSE,ramp_MAE,interval_coverage_probability,mean_prediction_interval_width,pinball_loss_q05,pinball_loss_q95,interval_calibration_error,variant,horizon_hours,feature_count,pinball_loss,uncertainty_error_correlation
Gaussian Naive Bayes,test,0.0733118057250976,0.8877481291354856,0.9153318021573016,0.7535022745393989,0.9066761943200776,0.4091240211254781,0.9480903144123232,0.8825732899022801,0.9707862225011316,0.6873755434756539,0.1174267100977198,0.0519096855876767,0.1074397176210619,0.1096532214804864,1.2752468585968018,Bayesian baseline,,,,,,,,,,,,,,,,,
Gaussian Naive Bayes,external_test,0.0794630050659179,0.858614310238504,0.90802532343229,0.6722743483373007,0.8925733082022418,0.2727588905312581,0.9634520884520884,0.8525985584124914,0.9657411037636352,0.5798954318379509,0.1474014415875086,0.0365479115479115,0.1362414332515319,0.1390640959125477,1.2752468585968018,Bayesian baseline,,,,,,,,,,,,,,,,,
Logistic Regression,validation,0.0456540584564209,0.9783829730495508,0.9593410128478576,0.889855694840193,0.9799876225430276,0.6837416481069042,0.938479174627436,0.9802028510682792,0.9950253546188528,0.9034988803215812,0.0197971489317207,0.0615208253725639,0.0161094995919114,0.0199168409238617,3.6003258228302,Classical ML,,,,,,,,,,,,,,,,,
Logistic Regression,test,0.0455019474029541,0.9670661177686296,0.832608882928842,0.8728837438903732,0.9650163358296392,0.8821576763485477,0.6729267778012239,0.9922909880564604,0.9932338805899592,0.9120718430396056,0.0077090119435396,0.327073222198776,0.0214840903839512,0.0171934805040333,3.6003258228302,Classical ML,,,,,,,,,,,,,,,,,
Logistic Regression,external_test,0.0400950908660888,0.966482774712912,0.921629086093205,0.8602080435808745,0.968865698206009,0.640550914427636,0.8713144963144963,0.9719436758719138,0.9899359102234346,0.861891578165684,0.0280563241280862,0.1286855036855036,0.0240676559169283,0.023726366505073,3.6003258228302,Classical ML,,,,,,,,,,,,,,,,,
Random Forest,validation,0.1439630985260009,0.9730495508258472,0.9778870388258154,0.8733124433796784,0.975914116857953,0.620598166907863,0.9831868551776844,0.9725872224739466,0.9966587909461342,0.9310876406582536,0.0274127775260534,0.0168131448223156,0.0195225615465239,0.0342943836488717,14.418810844421388,Tree ensemble,,,,,,,,,,,,,,,,,
Random Forest,test,0.158735990524292,0.9729828830480508,0.9774233043021624,0.9184487166340446,0.9746023246032688,0.7516139444803098,0.9826967714707744,0.9721498371335504,0.997082494485773,0.9638570651599082,0.0278501628664495,0.0173032285292255,0.0198028838720274,0.0319140845845694,14.418810844421388,Tree ensemble,,,,,,,,,,,,,,,,,
Random Forest,external_test,0.2262561321258545,0.9724495408256804,0.9781967770023564,0.8901362673620035,0.9749109825341776,0.6666666666666666,0.9846437346437348,0.9717498193609784,0.9966520673127656,0.9409435013183024,0.0282501806390215,0.0153562653562653,0.0202644934729032,0.035080446872882,14.418810844421388,Tree ensemble,,,,,,,,,,,,,,,,,
Extra Trees,validation,0.1639881134033203,0.961782696378273,0.9710849652857738,0.8354875006615796,0.9670560072894036,0.5336658354114713,0.9812762705387847,0.9608936600327628,0.994955213501424,0.9005967952026162,0.0391063399672371,0.0187237294612151,0.0273855016744997,0.0511121393345931,4.860805034637451,Tree ensemble,,,,,,,,,,,,,,,,,
Extra Trees,test,0.3012652397155761,0.9617493624893748,0.9725788321958916,0.8907857533279938,0.964914288983484,0.6772041763341067,0.9854399662376028,0.9597176981541804,0.9955875988259226,0.9463047856367904,0.0402823018458197,0.0145600337623971,0.0274676410611286,0.0502900204577558,4.860805034637451,Tree ensemble,,,,,,,,,,,,,,,,,
Extra Trees,external_test,0.1898808479309082,0.9594493241554026,0.9713236825237423,0.8515202953336789,0.964371684562039,0.5736267668634818,0.9846437346437348,0.9580036304037504,0.994870217677436,0.9172019215548952,0.0419963695962497,0.0153562653562653,0.0294522297429524,0.0548410165327457,4.860805034637451,Tree ensemble,,,,,,,,,,,,,,,,,
HistGradientBoostingClassifier,validation,0.2258267402648925,0.9811830197169952,0.9779453099592116,0.904413693108635,0.9826036163317492,0.7059800664451827,0.9743981658387466,0.9814924540796766,0.9978880984341516,0.9589173621634588,0.0185075459203234,0.0256018341612533,0.0136700248117915,0.0192395374149551,17.79567790031433,Boosting,,,,,,,,,,,,,,,,,
HistGradientBoostingClassifier,test,0.2108898162841797,0.9810330172169536,0.9795749888669169,0.9401280228714624,0.9817984444900086,0.8177166049055938,0.9778434268833088,0.9813065508505248,0.9979517398884072,0.978037493445097,0.0186934491494752,0.0221565731166912,0.0139182484176787,0.0175060333402747,17.79567790031433,Boosting,,,,,,,,,,,,,,,,,
HistGradientBoostingClassifier,external_test,0.2175228595733642,0.9815163586059767,0.979950548944742,0.920931015473572,0.9826318579740086,0.7542031730996922,0.9781941031941032,0.9817069946953808,0.9977782114807828,0.9629383460798948,0.018293005304619,0.0218058968058968,0.0138473744980582,0.019211021424632,17.79567790031433,Boosting,,,,,,,,,,,,,,,,,
MLPClassifier,validation,0.1218359470367431,0.9854164236070602,0.93967797309338,0.9170783174244276,0.9857890537299993,0.7989018531228552,0.8895682078716087,0.9897877383151512,0.9964840075122448,0.9340650852756268,0.0102122616848489,0.1104317921283912,0.0104285239440377,0.0058978670337837,24.604572057724,Classical ML,,,,,,,,,,,,,,,,,
