origin_block,rows,MAE,RMSE,Macro-F1,Balanced Accuracy,Brier Score,Expected Calibration Error,table,split,threshold,Accuracy,Precision,Recall,False Negative Rate,model,horizon_hours,validation_threshold
Block 1,12000.0,0.2782110713892398,0.4109996580549316,0.9384744745976488,0.9306927267082774,0.00724648013770738,0.004518373300053452,rolling_origin_validation,,,,,,,,,
Block 2,12000.0,0.30496558889874475,0.47065752462501986,0.9507196191535616,0.9374513893457055,0.006774652498070457,0.0033090119571010613,rolling_origin_validation,,,,,,,,,
Block 3,11999.0,0.3576736978208501,0.5571760588353362,0.9237789723596344,0.9049589454144105,0.0099762359884987,0.004987630642664259,rolling_origin_validation,,,,,,,,,
Block 4,12000.0,0.3899871170205937,0.6069740039892633,0.9039604076780653,0.8677999852496496,0.008113915349945095,0.003702804267897417,rolling_origin_validation,,,,,,,,,
Block 5,12000.0,0.41519311348972665,0.6585719583252754,0.8334977656098755,0.7692682317682318,0.0147457631778756,0.013489584646102176,rolling_origin_validation,,,,,,,,,
,59999.0,,,0.9488486606519668,0.94947126865159,0.04380045924078613,0.04983182750892088,threshold_sensitivity,external_test,q90,0.981349689161486,0.9066601049868767,0.9094948165213098,0.09050518347869013,,,
,59999.0,,,0.9371818033052504,0.9395866610699277,0.014719120920875956,0.006394674188401738,threshold_sensitivity,external_test,q95,0.9870331172186203,0.8761384335154827,0.8863636363636364,0.1136363636363636,,,
,59999.0,,,0.8923293514790345,0.8746275065234723,0.032019463807406126,0.03743629362643139,threshold_sensitivity,external_test,q99,0.9943165719428657,0.8272251308900523,0.751486325802616,0.24851367419738377,,,
,59999.0,,,0.9615853200664741,0.9610025593717553,0.06509076307648909,0.07486892731359683,threshold_sensitivity,test,q90,0.9832663877731296,0.9341028049926184,0.9313528703331995,0.06864712966680048,,,
,59999.0,,,0.9471523054283099,0.9410285754609967,0.02801128396660861,0.029301501189828123,threshold_sensitivity,test,q95,0.9848330805513426,0.9164672612573418,0.8890061194344798,0.11099388056552013,,,
,59999.0,,,0.8990442534524501,0.8752504398565606,0.027344524777772373,0.024721894696198704,threshold_sensitivity,test,q99,0.9889331488858147,0.8602150537634409,0.7542983915696062,0.24570160843039365,,,
,59999.0,,,0.9516039379803942,0.9559683955977206,0.04295779173915469,0.04933701423538716,threshold_sensitivity,validation,q90,0.9840830680511342,0.9023900748038679,0.9217294073797987,0.07827059262020125,,,
,59999.0,,,0.9419023135806515,0.9467373805621564,0.0093713993498088,0.004023725116440724,threshold_sensitivity,validation,q95,0.9901998366639444,0.8789689951438177,0.8991211310661062,0.10087886893389374,,,
,59999.0,,,0.9006961925084005,0.8665151951241563,0.024341879217026907,0.029947640508858578,threshold_sensitivity,validation,q99,0.9963499391656527,0.8869047619047619,0.7339901477832512,0.26600985221674833,,,
,,0.3492059765951439,0.5482732951053356,0.9135517727931768,0.8828841216398939,0.0093713993498088,0.0040237251164407,horizon_sensitivity,validation,,,,,,B-TGPRF,1.0,
,,0.4101793416820612,0.6007237418115005,0.8278067879443456,0.7627792483146868,0.0280112839666086,0.029301501189828,horizon_sensitivity,test,,,,,,B-TGPRF,1.0,
,,0.3650275095691107,0.5477591380099959,0.8959805124424085,0.8746774813514324,0.0147191209208759,0.0063946741884017,horizon_sensitivity,external_test,,,,,,B-TGPRF,1.0,
,,3.5782315673890066,4.781060775213708,0.5508337315742264,0.5777325534104552,0.0481226512463804,0.0671408658131806,horizon_sensitivity,validation,,,,,,B-TGPRF compact horizon sensitivity,6.0,0.2381554552728901
,,3.644727882699306,4.802017880995881,0.5832753092908975,0.6011622616007861,0.0690047438716759,0.0370856790950051,horizon_sensitivity,test,,,,,,B-TGPRF compact horizon sensitivity,6.0,0.2381554552728901
,,3.608665564403003,4.818461369409935,0.5614915140653883,0.594078837985976,0.0553526880677668,0.0608930253845617,horizon_sensitivity,external_test,,,,,,B-TGPRF compact horizon sensitivity,6.0,0.2381554552728901
,,3.0301441470468573,4.1632157116229775,0.6781890494919164,0.707896941143544,0.0515615532875696,0.1095855665174671,horizon_sensitivity,validation,,,,,,B-TGPRF compact horizon sensitivity,24.0,0.3861912855858354
,,3.014747548774395,4.163918337393698,0.6447512098657728,0.6301681929302572,0.0721345494244387,0.0844582419633402,horizon_sensitivity,test,,,,,,B-TGPRF compact horizon sensitivity,24.0,0.3861912855858354
,,3.039814630346581,4.19534710826609,0.6563856689506317,0.6802308328021691,0.0588964073220685,0.1064818844114765,horizon_sensitivity,external_test,,,,,,B-TGPRF compact horizon sensitivity,24.0,0.3861912855858354
