model,model_group,split,training_time_seconds,inference_time_seconds,latency_per_sample_ms,throughput_samples_per_second
LSTM,Neural temporal,test,,0.171426773071289,0.0028571605038632,349997.8382901077
LSTM,Neural temporal,external_test,,0.1597869396209716,0.0026631600463502,375493.76777803496
GRU,Neural temporal,validation,,0.1910758018493652,0.0031846497749856,314006.27091074706
GRU,Neural temporal,test,,0.2732398509979248,0.0045540734178557,219583.63606506167
GRU,Neural temporal,external_test,,0.2551240921020508,0.0042521390706853,235175.75116347743
TCN,Neural temporal,validation,,0.1287732124328613,0.0021462559781473,465927.64804467215
TCN,Neural temporal,test,,0.1212661266326904,0.0020211357961414,494771.3072565948
TCN,Neural temporal,external_test,,0.1215841770172119,0.0020264367242322,493477.04176593904
Transformer Encoder,Neural temporal,validation,,0.2114419937133789,0.0035240919634223,283761.0398307722
Transformer Encoder,Neural temporal,test,,0.2773230075836181,0.0046221271618463,216350.60330113137
Transformer Encoder,Neural temporal,external_test,,0.2444252967834472,0.0040738228434381,245469.6825147241
STGCN-inspired compact,Graph-temporal,validation,,0.136160135269165,0.0022693734107095,440650.26728559256
STGCN-inspired compact,Graph-temporal,test,,0.1365330219268798,0.0022755882919195,439446.8030754672
STGCN-inspired compact,Graph-temporal,external_test,,0.133847951889038,0.0022308363787569,448262.3690031513
Graph WaveNet-inspired compact,Graph-temporal,validation,,0.1518111228942871,0.0025302275520306,395221.3701876113
Graph WaveNet-inspired compact,Graph-temporal,test,,0.1340439319610595,0.0022341027677304,447606.9831898847
Graph WaveNet-inspired compact,Graph-temporal,external_test,,0.1757960319519043,0.00292998269891,341298.9436326698
PatchTST-style compact,Neural temporal,validation,,0.4680240154266357,0.0078005302659483,128196.413052238
PatchTST-style compact,Neural temporal,test,,0.2583320140838623,0.0043056053281531,232255.3796236905
PatchTST-style compact,Neural temporal,external_test,,1.4917540550231934,0.0248629819667526,40220.43700700191
TFT-inspired compact attention,Neural temporal,validation,,0.2323248386383056,0.0038721451797247,258254.77960800097
TFT-inspired compact attention,Neural temporal,test,,0.2456912994384765,0.0040949232393619,244204.8218114632
TFT-inspired compact attention,Neural temporal,external_test,,0.2324459552764892,0.0038741638240052,258120.21520715448
B-TGPRF,Proposed,validation,24.903462171554565,0.5107600688934326,0.0085128096950521,117470.028794515
B-TGPRF,Proposed,test,24.903462171554565,0.4455451965332031,0.0074258770401707,134664.2281565451
B-TGPRF,Proposed,external_test,24.903462171554565,0.3261158466339111,0.0054353546998101,183980.6333218553
