comparison,reference_model,split,reference_MAE,btgprf_MAE,relative_MAE_reduction,reference_RMSE,btgprf_RMSE
B-TGPRF vs validation-best baseline,ExtraTreesRegressor,validation,0.384038327816091,0.3492059765951439,0.09070019476526693,0.627629425385304,0.5482732951053356
B-TGPRF vs validation-best baseline,ExtraTreesRegressor,test,0.4021877490907857,0.41017934168206127,-0.019870303333385058,0.6160602905700406,0.6007237418115005
B-TGPRF vs validation-best baseline,ExtraTreesRegressor,external_test,0.3748018683063728,0.36502750956911073,0.026078735293799327,0.5902888850759738,0.5477591380099959
B-TGPRF vs validation-best SOTA,GRU,validation,1.3235491514205933,0.3492059765951439,0.7361594188198503,1.8867706228513856,0.5482732951053356
B-TGPRF vs validation-best SOTA,GRU,test,1.3989343643188477,0.41017934168206127,0.706791574464916,2.0029124273619425,0.6007237418115005
B-TGPRF vs validation-best SOTA,GRU,external_test,1.2926876544952393,0.36502750956911073,0.7176212606213326,1.843251435712211,0.5477591380099959
