split,rows,mean_MAE,mean_Macro_F1,mean_coverage
external_test,138657,0.34293227298907514,0.8263905355871406,0.8631945130365577
test,164255,0.3624378941886625,0.7398611331741574,0.8460158513324275
validation,107303,0.3286347900582615,0.7953531903375873,0.8824123974155619
